site_name,roi,veg,source,lat,lon,year,gvf_vs_ndvi,ndvi_vs_gcc,gcc_vs_gvf,water_pct,urban_pct
willowcreek,willowcreek_DB_1000,DB,GoldenSites_2023,45.806,-90.0791,2023,0.7211,1.1707,1.3577,0.0,0.0
willowcreek,willowcreek_DB_1000,DB,GoldenSites_2024,45.806,-90.0791,2024,0.7513,1.7279,1.6111,0.0,0.0
TALL,NEON.D08.TALL.DP1.00033_EN_1000,EN,GBOV_2023,32.9505,-87.3933,2023,4.0985,1.4767,2.6814,0.0,0.0
TALL,NEON.D08.TALL.DP1.00033_EN_1000,EN,GBOV_2024,32.9505,-87.3933,2024,3.937,1.5725,5.1078,,
bigtraillake,bigtraillake_EN_1000,EN,GoldenSites_2023,64.9194,-147.822,2023,1.0979,0.3978,0.9802,1.0,0.3
grca1pj,grca1pj_EN_1000,EN,GoldenSites_2024,36.0241,-112.2211,2024,3.15,3.8285,6.2261,0.0,0.0
CPER,NEON.D10.CPER.DP1.00033_GR_1000,GR,GBOV_2023,40.8155,-104.7456,2023,2.1273,0.661,2.2632,0.1,0.0
CPER,NEON.D10.CPER.DP1.00033_GR_1000,GR,GBOV_2024,40.8155,-104.7456,2024,6.4723,10.0153,6.5213,0.1,0.0
JORN,NEON.D14.JORN.DP1.00033_GR_1000,GR,GBOV_2023,32.5907,-106.8425,2023,6.0196,7.9723,5.1338,0.0,0.0
JORN,NEON.D14.JORN.DP1.00033_GR_1000,GR,GBOV_2024,32.5907,-106.8425,2024,5.1479,3.7354,3.5495,0.0,0.0
MOAB,NEON.D13.MOAB.DP1.00033_GR_1000,GR,GBOV_2024,38.2483,-109.3883,2024,2.3197,4.6332,2.4156,0.0,0.4
blueoakheadquarters,blueoakheadquarters_GR_1000,GR,GoldenSites_2024,37.3827,-121.7393,2024,4.187,0.6149,4.4492,0.3,0.0
dangermondjalama,dangermondjalama_GR_1000,GR,GoldenSites_2024,34.5163,-120.458,2024,3.2129,1.1883,3.257,0.0,0.1
segawhitepockets,segawhitepockets_GR_1000,GR,GoldenSites_2023,36.6081,-112.4082,2023,2.8178,1.8443,3.9317,0.0,0.0
ONAQ,NEON.D15.ONAQ.DP1.00033_SH_1000,SH,GBOV_2023,40.1776,-112.4525,2023,2.7017,4.4542,1.9878,0.0,0.1
ONAQ,NEON.D15.ONAQ.DP1.00033_SH_1000,SH,GBOV_2024,40.1776,-112.4525,2024,2.5603,2.6809,1.7542,0.0,0.1
SRER,NEON.D14.SRER.DP1.00033_SH_1000,SH,GBOV_2024,31.9107,-110.8355,2024,0.7436,0.2994,0.6731,0.0,0.3
luckyhills,luckyhills_SH_4000,SH,GoldenSites_2024,31.7439,-110.052,2024,7.5024,6.6196,0.9258,0.0,1.4
portal,portal_SH_1000,SH,GoldenSites_2024,31.9385,-109.0823,2024,3.5723,8.0304,8.0937,0.0,0.0
sevmettswl,sevmettswl_SH_1000,SH,GoldenSites_2024,34.3104,-106.6844,2024,3.7056,3.1107,1.3002,0.0,0.0
STEI,NEON.D05.STEI.DP1.00042_UN_1000,UN,GoldenSites_2024,45.5089,-89.5864,2024,1.679,3.0656,2.3896,3.0,0.3
lostcreek,lostcreek_WL_1000,WL,GoldenSites_2024,46.0827,-89.9792,2024,1.1992,2.0429,1.6708,0.8,0.2
