site,veg,roi,lat,lon,water_frac,urban_frac,total_flags,flags_2023,flags_2024,flagged_in,phenocam_site,gvf_vs_ndvi_div_2023,gcc_vs_ndvi_div_2023,gvf_vs_gcc_div_2023,gvf_sos_2023,gvf_mos_2023,gvf_dos_2023,gvf_eos_2023,gcc_sos_2023,gcc_mos_2023,gcc_dos_2023,gcc_eos_2023,ndvi_sos_2023,ndvi_mos_2023,ndvi_dos_2023,ndvi_eos_2023,gvf_vs_ndvi_div_2024,gcc_vs_ndvi_div_2024,gvf_vs_gcc_div_2024,gvf_sos_2024,gvf_mos_2024,gvf_dos_2024,gvf_eos_2024,gcc_sos_2024,gcc_mos_2024,gcc_dos_2024,gcc_eos_2024,ndvi_sos_2024,ndvi_mos_2024,ndvi_dos_2024,ndvi_eos_2024
thompsonfarmfluxtower,DB,thompsonfarmfluxtower_DB_1000,43.1084,-70.9519,0.0142,0.0055,5,0,5,"2024:{NDVI:SOS(-76), NDVI:MOS(-48), GCC:SOS(-76), GCC:MOS(-83), GCC:DOS(-79)} 2023:{}",thompsonfarmfluxtower,,,,,,,,,,,,,,,,4.353589919466035,1.0296034529776623,5.274885531738436,115.0,164.0,196.0,343.0,191.0,247.0,275.0,300.0,191.0,212.0,263.0,308.0
witnesstree,DB,witnesstree_DB_1000,42.53556197,-72.18956997,0.0011,0.0037,4,2,2,"2024:{NDVI:SOS(+54), NDVI:MOS(-41)} 2023:{NDVI:SOS(+113), NDVI:MOS(-131)}",witnesstree,5.723330795750163,5.257962553646938,1.553292388679449,115.0,150.0,218.0,347.0,120.0,145.0,272.0,365.0,2.0,281.0,282.0,338.0,3.08614798833161,3.722485003222826,1.383311885426432,107.0,148.0,230.0,342.0,126.0,137.0,249.0,316.0,53.0,189.0,275.0,365.0
BLAN,DB,NEON.D02.BLAN.DP1.00033_DB_1000,39.033698,-78.041788,0.0254,0.0029,3,3,0,"2024:{} 2023:{NDVI:SOS(-38), NDVI:EOS(+49), GCC:DOS(-71)}",NEON.D02.BLAN.DP1.00033,2.531065865228616,0.665910172607752,3.0214251713764595,42.0,142.0,180.0,365.0,81.0,125.0,251.0,328.0,80.0,134.0,239.0,332.0,,,,,,,,,,,,,,,
HARV,DB,NEON.D01.HARV.DP1.00033_DB_1000,42.536911,-72.17265,0.0005,0.0031,2,2,0,"2024:{} 2023:{GCC:SOS(+99), GCC:MOS(+162)}",NEON.D01.HARV.DP1.00033,1.2303955181763386,6.263044494298283,5.298804134624395,101.0,164.0,227.0,337.0,2.0,2.0,212.0,355.0,106.0,158.0,266.0,321.0,,,,,,,,,,,,,,,
macleish,DB,macleish_DB_1000,42.4484,-72.6804,0.0185,0.0008,2,2,0,"2024:{} 2023:{NDVI:EOS(+180), GCC:EOS(+169)}",macleish,4.410898471554039,0.9937655131087624,4.816585629961975,106.0,161.0,203.0,363.0,102.0,136.0,140.0,194.0,109.0,141.0,170.0,183.0,,,,,,,,,,,,,,,
ninemileprairie,DB,ninemileprairie_DB_2000,40.86801886,-96.822080664,0.0028,0.0102,2,2,0,"2024:{} 2023:{NDVI:SOS(+41), GCC:MOS(+69)}",ninemileprairie,1.9563136952160611,2.0082160156876423,2.0783099293871294,101.0,210.0,227.0,292.0,116.0,141.0,218.0,314.0,60.0,170.0,237.0,308.0,,,,,,,,,,,,,,,
russellsage,DB,russellsage_DB_1000,32.456961,-91.974322,0.0022,0.0,2,0,2,"2024:{NDVI:DOS(+59), GCC:DOS(-78)} 2023:{}",russellsage,,,,,,,,,,,,,,,,2.123027683742201,2.728233186469226,2.1774884507456176,65.0,133.0,172.0,366.0,77.0,103.0,250.0,365.0,81.0,102.0,113.0,365.0
tfforest,DB,tfforest_DB_1001,43.1086,-70.9505,0.0139,0.0057,2,2,0,"2024:{} 2023:{NDVI:SOS(+55), NDVI:MOS(-47)}",tfforest,4.033231347746422,3.77604006013958,0.6451808348689063,107.0,159.0,199.0,339.0,94.0,149.0,199.0,328.0,52.0,206.0,275.0,294.0,,,,115.0,164.0,196.0,343.0,126.0,140.0,187.0,311.0,129.0,147.0,254.0,311.0
usgseros,DB,usgseros_DB_2000,43.7343,-96.6234,0.0029,0.0092,2,2,0,"2024:{} 2023:{NDVI:SOS(+87), NDVI:EOS(-33)}",usgseros,2.748495835414649,3.6808869125064154,1.9848763466120256,90.0,199.0,226.0,303.0,112.0,142.0,213.0,285.0,3.0,170.0,227.0,336.0,,,,,,,,,,,,,,,
turkeypointdbf,DB,turkeypointdbf_DB_2000,42.6353,-80.5576,0.0015,0.0024,1,1,0,2024:{} 2023:{NDVI:SOS(+85)},turkeypointdbf,3.737040192744886,5.978024486337286,2.459819197481068,97.0,156.0,241.0,337.0,127.0,141.0,155.0,342.0,12.0,158.0,343.0,355.0,,,,,,,,,,,,,,,
SJER,EN,NEON.D17.SJER.DP1.00033_EN_2000,37.10878,-119.73228,0.0039,0.0109,2,0,2,"2024:{NDVI:EOS(-204), GCC:EOS(-204)} 2023:{}",NEON.D17.SJER.DP1.00033,,,,,,,,,,,,,,,,4.64037438718773,0.6039136323069295,4.468713657423978,22.0,94.0,116.0,161.0,2.0,104.0,104.0,365.0,2.0,89.0,89.0,365.0
huyckpreserveny,EN,huyckpreserveny_EN_1000,42.5266,-74.1587,0.0238,0.0046,2,0,2,"2024:{GCC:SOS(+107), GCC:DOS(+56)} 2023:{}",huyckpreserveny,,,,104.0,165.0,231.0,311.0,122.0,138.0,173.0,315.0,122.0,150.0,226.0,317.0,3.460787087501126,3.435830476597699,4.13928899303333,117.0,161.0,208.0,339.0,10.0,128.0,144.0,314.0,6.0,200.0,200.0,365.0
rosalia,EN,rosalia_EN_1000,47.7027,16.3015,0.0,0.0075,2,2,0,"2024:{} 2023:{NDVI:DOS(-93), GCC:DOS(+44)}",rosalia,4.94036300366946,4.428910515504055,2.1784910985099386,69.0,175.0,224.0,360.0,2.0,173.0,180.0,365.0,2.0,278.0,317.0,365.0,,,,69.0,136.0,209.0,346.0,2.0,223.0,260.0,365.0,86.0,206.0,206.0,365.0
bartlettir,EN,bartlettir_EN_3000,44.0646,-71.2881,0.0035,0.0114,1,1,0,2024:{} 2023:{NDVI:DOS(-144)},bartlettir,5.258687833046556,4.667707792889012,1.511249188312955,113.0,165.0,204.0,345.0,73.0,139.0,221.0,345.0,2.0,192.0,348.0,348.0,,,,107.0,175.0,200.0,349.0,128.0,139.0,219.0,298.0,105.0,155.0,231.0,331.0
canadaOBS,EN,canadaOBS_EN_1000,53.98717,-105.11779,0.0008,0.0051,1,1,0,2024:{} 2023:{NDVI:EOS(-70)},canadaOBS,3.9540777150423096,3.2800176191236075,1.7368546006132473,88.0,214.0,222.0,293.0,87.0,164.0,229.0,329.0,2.0,185.0,191.0,363.0,,,,,,,,,,,,,,,
ettenheim1,EN,ettenheim1_EN_1000,48.2685,7.8782,0.0,0.0298,1,0,1,2024:{GCC:SOS(-31)} 2023:{},ettenheim1,,,,,,,,,,,,,,,,3.9884314551462583,4.347379838446076,2.0315690450396584,82.0,131.0,203.0,364.0,113.0,137.0,137.0,365.0,113.0,257.0,257.0,365.0
grca1pj,EN,grca1pj_EN_1000,36.0241,-112.2211,0.0,0.0,1,0,1,2024:{GCC:MOS(-232)} 2023:{},grca1pj,,,,,,,,,,,,,,,,3.1500114744075804,3.828507248858785,6.226084682745579,3.0,13.0,182.0,366.0,17.0,245.0,261.0,351.0,38.0,120.0,211.0,365.0
segabluechute,EN,segabluechute_EN_1000,35.5876,-111.9716,0.0002,0.0034,1,1,0,2024:{} 2023:{NDVI:EOS(-70)},segabluechute,2.4529767196855943,2.0183331214623954,1.51444205331188,59.0,193.0,257.0,295.0,39.0,187.0,239.0,333.0,78.0,221.0,242.0,365.0,,,,,,,,,,,,,,,
CPER,GR,NEON.D10.CPER.DP1.00033_GR_1000,40.81553,-104.7456,0.0008,0.0001,2,0,2,"2024:{GCC:MOS(-99), GCC:DOS(-91)} 2023:{}",NEON.D10.CPER.DP1.00033,,,,121.0,188.0,194.0,313.0,115.0,150.0,161.0,264.0,105.0,154.0,158.0,282.0,6.472251390047076,10.015251098058128,6.521304145123639,83.0,140.0,155.0,366.0,2.0,239.0,246.0,274.0,2.0,2.0,17.0,365.0
JORN,GR,NEON.D14.JORN.DP1.00033_GR_1000,32.59068,-106.84254,0.0,0.0,2,1,1,2024:{GCC:MOS(-56)} 2023:{GCC:MOS(-114)},NEON.D14.JORN.DP1.00033,6.019614845422233,7.972290447659779,5.13379373776908,60.0,158.0,194.0,339.0,2.0,272.0,272.0,365.0,2.0,53.0,53.0,365.0,5.147916592621528,3.7354275881931622,3.549496578915374,78.0,156.0,237.0,333.0,2.0,212.0,212.0,365.0,2.0,110.0,110.0,365.0
blueoakheadquarters,GR,blueoakheadquarters_GR_1000,37.3827,-121.7393,0.0034,0.0004,2,0,2,"2024:{NDVI:EOS(+197), GCC:EOS(+218)} 2023:{}",blueoakheadquarters,,,,,,,,,,,,,,,,4.186966534418339,0.6149470725772981,4.449210541322201,10.0,111.0,125.0,366.0,12.0,86.0,125.0,148.0,7.0,87.0,131.0,169.0
cperuvb,GR,cperuvb_GR_1000,40.8055764,-104.7558542,0.0008,0.0003,2,0,2,"2024:{GCC:MOS(-108), GCC:DOS(-90)} 2023:{}",cperuvb,,,,122.0,180.0,183.0,267.0,120.0,150.0,161.0,250.0,111.0,153.0,158.0,250.0,2.0519093079415045,5.485667316364249,6.635590758684898,86.0,131.0,156.0,366.0,2.0,239.0,246.0,279.0,2.0,134.0,134.0,365.0
dangermondjalama,GR,dangermondjalama_GR_1000,34.5163,-120.458,0.0,0.0006,2,0,2,"2024:{NDVI:EOS(+129), GCC:EOS(+159)} 2023:{}",dangermondjalama,,,,,,,,,,,,,,,,3.2129213163749077,1.188330691854683,3.257014645448887,8.0,50.0,58.0,310.0,2.0,49.0,73.0,151.0,6.0,49.0,104.0,181.0
jergrassland2,GR,jergrassland2_GR_1000,32.5849,-106.8261,0.0,0.0,2,0,2,"2024:{GCC:MOS(+115), GCC:DOS(+150)} 2023:{}",jergrassland2,,,,53.0,158.0,171.0,363.0,2.0,143.0,143.0,297.0,2.0,53.0,53.0,365.0,3.9784671900647433,2.4809697679027365,6.150084820209891,76.0,128.0,167.0,366.0,10.0,13.0,17.0,365.0,2.0,77.0,77.0,365.0
segabluechute6,GR,segabluechute6_GR_1000,35.58759,-111.97115,0.0002,0.0034,2,0,2,"2024:{NDVI:EOS(+199), GCC:EOS(+203)} 2023:{}",segabluechute6,,,,59.0,193.0,257.0,295.0,53.0,149.0,149.0,365.0,2.0,158.0,158.0,362.0,4.722039256053222,0.3894977035968912,4.518528638605608,62.0,136.0,136.0,366.0,46.0,149.0,151.0,163.0,35.0,152.0,152.0,167.0
sevmveblack23redinc,GR,sevmveblack23redinc_GR_2000,34.3355,-106.7271,0.0,0.0,2,0,2,"2024:{GCC:MOS(+179), GCC:DOS(+191)} 2023:{}",sevmveblack23redinc,,,,,,,,,,,,,,,,11.119616912967947,3.3483514996945685,9.16942376777425,95.0,220.0,232.0,278.0,2.0,41.0,41.0,237.0,2.0,2.0,26.0,365.0
sevmveblack29ambinc,GR,sevmveblack29ambinc_GR_1000,34.3352,-106.7274,0.0,0.0,2,0,2,"2024:{GCC:MOS(+158), GCC:DOS(+170)} 2023:{}",sevmveblack29ambinc,,,,57.0,263.0,263.0,316.0,98.0,260.0,260.0,365.0,98.0,152.0,152.0,365.0,9.413712126446097,0.6394886514429874,9.031990695089272,95.0,220.0,232.0,278.0,20.0,62.0,62.0,365.0,2.0,56.0,56.0,365.0
sevmveblack30ambamb,GR,sevmveblack30ambamb_GR_1000,34.3352,-106.7272,0.0,0.0,2,2,0,"2024:{} 2023:{GCC:MOS(+144), GCC:DOS(+144)}",sevmveblack30ambamb,4.638889989669225,3.5326729126676635,6.886320718210665,57.0,263.0,263.0,316.0,98.0,119.0,119.0,365.0,98.0,173.0,173.0,282.0,,,,95.0,220.0,232.0,278.0,2.0,236.0,236.0,330.0,2.0,131.0,131.0,365.0
gumpenstein,GR,gumpenstein_GR_1000,47.4939,14.1008,0.0012,0.0598,1,0,1,2024:{GCC:DOS(-62)} 2023:{},gumpenstein,,,,,,,,,,,,,,,,2.015767610628322,1.2977436799899291,2.861894732609625,7.0,135.0,206.0,358.0,44.0,124.0,268.0,310.0,2.0,118.0,258.0,322.0
gumpenstein2,GR,gumpenstein2_GR_1000,47.4938,14.1009,0.0012,0.0598,1,0,1,2024:{GCC:DOS(-66)} 2023:{},gumpenstein2,,,,,,,,,,,,,,,,1.6479998031075749,1.7599719880531484,2.901417197951035,7.0,135.0,206.0,358.0,53.0,119.0,272.0,326.0,2.0,127.0,280.0,355.0
sevilletagrass,GR,sevilletagrass_GR_1000,34.360444,-106.700186,0.0,0.0,1,0,1,2024:{GCC:MOS(-82)} 2023:{},sevilletagrass,,,,43.0,258.0,275.0,329.0,2.0,266.0,273.0,284.0,2.0,266.0,266.0,365.0,4.514986843645259,2.630786897615863,3.189087558597996,77.0,127.0,224.0,293.0,30.0,209.0,210.0,261.0,2.0,212.0,212.0,365.0
sevmveblack24redinc,GR,sevmveblack24redinc_GR_1000,34.3354,-106.727,0.0,0.0,1,1,0,2024:{} 2023:{GCC:MOS(+125)},sevmveblack24redinc,4.061646405768315,1.5798607354787897,5.55607282326791,105.0,265.0,267.0,317.0,100.0,140.0,140.0,365.0,106.0,179.0,179.0,365.0,,,,105.0,220.0,227.0,286.0,43.0,236.0,240.0,281.0,2.0,116.0,116.0,365.0
sevmveblack25redamb,GR,sevmveblack25redamb_GR_1000,34.3354,-106.7275,0.0,0.0,1,1,0,2024:{} 2023:{GCC:SOS(-118)},sevmveblack25redamb,3.058469383029403,2.9415277329892753,3.119293924466339,57.0,263.0,263.0,316.0,175.0,263.0,263.0,365.0,98.0,302.0,302.0,365.0,,,,,,,,,,,,,,,
sevmveblack27redinc,GR,sevmveblack27redinc_GR_1000,34.3353,-106.7272,0.0,0.0,1,0,1,2024:{GCC:MOS(+86)} 2023:{},sevmveblack27redinc,,,,57.0,263.0,263.0,316.0,98.0,272.0,284.0,319.0,98.0,188.0,188.0,365.0,9.248810704148696,5.1563212879543485,5.1705005204267485,95.0,220.0,232.0,278.0,2.0,134.0,236.0,365.0,14.0,53.0,53.0,365.0
sevmveblack28ambinc,GR,sevmveblack28ambinc_GR_1000,34.3353,-106.7275,0.0,0.0,1,1,0,2024:{} 2023:{GCC:MOS(-75)},sevmveblack28ambinc,4.3672025231755525,5.6933929755631825,4.125328447904956,57.0,263.0,263.0,316.0,98.0,338.0,338.0,352.0,98.0,188.0,188.0,365.0,,,,,,,,,,,,,,,
ONAQ,SH,NEON.D15.ONAQ.DP1.00033_SH_1001,40.177599,-112.452452,0.0,0.0009,14,13,1,"2024:{NDVI:EOS(+139)} 2023:{NDVI:SOS(+79), NDVI:SOS(+83), NDVI:MOS(+115), NDVI:MOS(-196), NDVI:DOS(+176), NDVI:DOS(-148), GCC:SOS(-5), GCC:SOS(-5), GCC:MOS(+0), GCC:MOS(+2), GCC:DOS(-34), GCC:EOS(+75), GCC:EOS(+40)}",NEON.D15.ONAQ.DP1.00033,6.722112272995124,8.777498088002918,2.11086633702964,85.0,145.0,208.0,365.0,90.0,145.0,242.0,290.0,6.0,30.0,32.0,365.0,6.818300880306758,5.812514155943774,1.9859917287515572,43.0,139.0,139.0,267.0,49.0,136.0,152.0,193.0,2.0,41.0,41.0,128.0
ibp,SH,ibp_SH_1000,32.589,-106.847,0.0,0.0,7,2,5,"2024:{NDVI:DOS(+183), NDVI:EOS(+262), GCC:MOS(+116), GCC:DOS(+225), GCC:EOS(+262)} 2023:{GCC:MOS(+93), GCC:MOS(+93)}",ibp,2.6462044590984446,3.1222802504435125,4.62426152975669,15.0,218.0,224.0,318.0,112.0,125.0,198.0,357.0,60.0,179.0,255.0,348.0,10.76876125375568,1.719635254665113,12.28969621666586,79.0,133.0,242.0,339.0,2.0,17.0,17.0,77.0,2.0,59.0,59.0,77.0
srm,SH,srm_SH_1000,31.8214,-110.8661,0.0,0.0,5,3,2,"2024:{NDVI:SOS(-55), GCC:MOS(+112)} 2023:{NDVI:MOS(+112), GCC:MOS(+119), GCC:EOS(-63)}",srm,4.1711705632345755,1.1929674630367202,5.1659123374073825,41.0,233.0,251.0,291.0,101.0,114.0,206.0,354.0,102.0,121.0,253.0,345.0,3.5192635000171895,1.8276135004911136,5.0357588661839205,21.0,227.0,229.0,272.0,104.0,115.0,207.0,334.0,76.0,158.0,230.0,341.0
jershrubland2,SH,jershrubland2_SH_1000,32.6638,-106.831,0.0,0.0,4,2,2,"2024:{NDVI:EOS(+184), GCC:EOS(+184)} 2023:{NDVI:EOS(+155), GCC:EOS(+138)}",jershrubland2,3.962141017115699,0.8921400761542784,4.103094671047966,59.0,150.0,155.0,365.0,105.0,119.0,159.0,227.0,101.0,140.0,163.0,210.0,4.889154224383501,2.49941096197196,4.489062605883866,77.0,136.0,148.0,366.0,105.0,120.0,134.0,182.0,2.0,134.0,153.0,182.0
amtsvenn,SH,amtsvenn_SH_1000,52.176,6.955,0.0055,0.0098,3,3,0,"2024:{} 2023:{NDVI:MOS(-45), GCC:MOS(-57), GCC:DOS(-63)}",amtsvenn,4.185291023845184,1.7154098882026525,4.645383055096323,104.0,194.0,207.0,332.0,221.0,251.0,270.0,317.0,221.0,239.0,239.0,365.0,,,,,,,,,,,,,,,
jernovel,SH,jernovel_SH_1000,32.6335,-106.8334,0.0,0.0,3,2,1,"2024:{GCC:MOS(+48)} 2023:{NDVI:DOS(-66), GCC:DOS(-27)}",jernovel,1.548991262789937,2.586659329708581,2.0715965531310383,52.0,151.0,151.0,357.0,114.0,127.0,178.0,358.0,47.0,155.0,217.0,365.0,2.765266570833644,2.42870458695651,2.976846596188067,47.0,177.0,231.0,348.0,115.0,129.0,189.0,354.0,2.0,134.0,188.0,365.0
portal,SH,portal_SH_1000,31.9385,-109.0823,0.0,0.0002,3,0,3,"2024:{GCC:SOS(-135), GCC:MOS(-130), GCC:DOS(-134)} 2023:{}",portal,,,,,,,,,,,,,,,,3.5722698745833177,8.030394119626878,8.093744814881163,47.0,93.0,102.0,366.0,182.0,223.0,236.0,319.0,13.0,32.0,197.0,365.0
sevilletashrub,SH,sevilletashrub_SH_1000,34.334956,-106.744469,0.0,0.0,3,3,0,"2024:{} 2023:{NDVI:SOS(+41), GCC:SOS(+26), GCC:MOS(+262)}",sevilletashrub,1.7690262061236133,0.6349784205037223,1.1876885024145298,43.0,264.0,268.0,307.0,17.0,239.0,256.0,307.0,2.0,230.0,249.0,308.0,,,,83.0,221.0,236.0,276.0,80.0,212.0,212.0,298.0,5.0,212.0,212.0,315.0
SRER,SH,NEON.D14.SRER.DP1.00042_SH_1000,31.91068,-110.83549,0.0,0.0031,2,0,2,"2024:{GCC:MOS(-150), GCC:DOS(-166)} 2023:{}",NEON.D14.SRER.DP1.00042,,,,,,,,,,,,,,,,0.8523216580221544,6.6527908300130845,7.490974817367194,39.0,79.0,79.0,366.0,2.0,229.0,245.0,304.0,16.0,89.0,89.0,365.0
sevmetdpwl,SH,sevmetdpwl_SH_1000,34.3592,-106.6911,0.0,0.0,2,0,2,"2024:{NDVI:SOS(-95), GCC:MOS(-98)} 2023:{}",sevmetdpwl,,,,,,,,,,,,,,,,4.833958175959024,2.0448874697764494,4.130583745337844,81.0,118.0,224.0,304.0,182.0,216.0,221.0,277.0,176.0,220.0,232.0,365.0
sevmvecreo19redamb,SH,sevmvecreo19redamb_SH_1000,34.3386,-106.739,0.0,0.0,2,2,0,"2024:{} 2023:{NDVI:SOS(-163), GCC:SOS(-176)}",sevmvecreo19redamb,3.442418501782409,0.9538098101687184,4.079906339532506,41.0,266.0,271.0,305.0,217.0,233.0,255.0,305.0,204.0,258.0,260.0,297.0,,,,,,,,,,,,,,,
sevmvecreo20redinc,SH,sevmvecreo20redinc_SH_1000,34.3386,-106.739,0.0,0.0,2,1,1,2024:{NDVI:DOS(+189)} 2023:{GCC:SOS(-174)},sevmvecreo20redinc,3.8015403922625057,1.720604277677671,4.23605787063684,41.0,266.0,271.0,305.0,215.0,237.0,255.0,319.0,189.0,259.0,263.0,352.0,9.688626820594672,8.250443154503385,1.487984502761339,85.0,221.0,230.0,271.0,55.0,221.0,221.0,313.0,9.0,41.0,41.0,365.0
sevmvecreo22ambinc,SH,sevmvecreo22ambinc_SH_1000,34.3386,-106.739,0.0,0.0,2,2,0,"2024:{} 2023:{NDVI:SOS(-177), GCC:SOS(-179)}",sevmvecreo22ambinc,4.227595265443021,0.3666885845628568,4.261186019150834,41.0,266.0,271.0,305.0,220.0,227.0,254.0,305.0,218.0,231.0,258.0,297.0,,,,85.0,221.0,230.0,271.0,69.0,209.0,209.0,293.0,2.0,209.0,209.0,352.0
sevmvecreo5ambinc,SH,sevmvecreo5ambinc_SH_1000,34.3384,-106.739,0.0,0.0,2,2,0,"2024:{} 2023:{NDVI:SOS(-177), GCC:SOS(-177)}",sevmvecreo5ambinc,3.926325130358413,0.2286870939447971,3.9700346263722057,41.0,266.0,271.0,305.0,218.0,234.0,263.0,303.0,218.0,232.0,269.0,301.0,,,,,,,,,,,,,,,
sevmvecreo6ambamb,SH,sevmvecreo6ambamb_SH_1000,34.3383,-106.7389,0.0,0.0,2,1,1,2024:{NDVI:DOS(+162)} 2023:{GCC:SOS(-178)},sevmvecreo6ambamb,3.958000480200156,2.8084835255407143,4.348590169447741,41.0,266.0,271.0,305.0,219.0,228.0,248.0,304.0,193.0,271.0,272.0,365.0,8.52408035688927,7.878156456152019,0.6797928805217035,85.0,221.0,230.0,271.0,69.0,221.0,222.0,283.0,2.0,68.0,68.0,347.0
sevmvecreo9ambamb,SH,sevmvecreo9ambamb_SH_1000,34.3381,-106.7385,0.0,0.0,2,2,0,"2024:{} 2023:{NDVI:DOS(+83), GCC:SOS(-178)}",sevmvecreo9ambamb,5.993908148883171,4.33109142174758,4.165883890951154,41.0,266.0,271.0,305.0,219.0,229.0,257.0,304.0,152.0,188.0,188.0,365.0,,,,,,,,,,,,,,,
