site,veg,lat,lon,water_frac,urban_frac,total_flags,flags_2023,flags_2024,flagged_in,greenup_gcc_2023,greenup_ndvi_2023,greenup_d_2023,senescence_gcc_2023,senescence_ndvi_2023,senescence_d_2023,greenup_gcc_2024,greenup_ndvi_2024,greenup_d_2024,senescence_gcc_2024,senescence_ndvi_2024,senescence_d_2024
snodgrass4,DB,38.92839978,-106.97811962,0.0004,0.0091,1,0,1,"2024:{senescence(gcc=3.43,ndvi=12.00,d=-8.57)} 2023:{}",,,,,,,,,,3.4286,12.0,-8.5714
tfforest,DB,43.1086,-70.9505,0.0139,0.0057,1,1,0,"2024:{} 2023:{senescence(gcc=1.09,ndvi=7.37,d=-6.28)}",,,,1.0853,7.3684,-6.2831,,,,,,
thompsonfarmfluxtower,DB,43.1084,-70.9519,0.0142,0.0055,1,0,1,"2024:{senescence(gcc=5.88,ndvi=3.27,d=+2.61)} 2023:{}",,,,,,,,,,5.88,3.2667,2.6132999999999997
turkeypointdbf,DB,42.6353,-80.5576,0.0015,0.0024,1,1,0,"2024:{} 2023:{senescence(gcc=0.51,ndvi=8.00,d=-7.49)}",,,,0.5134,8.0,-7.4866,,,,,,
willowcreek,DB,45.805986,-90.07912,0.0004,0.0,1,1,0,"2024:{} 2023:{senescence(gcc=2.36,ndvi=0.86,d=+1.50)}",,,,2.36,0.8551,1.5049,,,,,,
ettenheim1,EN,48.2685,7.8782,0.0,0.0298,2,0,2,"2024:{greenup(gcc=2.04,ndvi=0.34,d=+1.70), senescence(gcc=0.71,ndvi=1.49,d=-0.78)} 2023:{}",,,,,,,2.0417,0.3403,1.7014,0.7061,1.4907,-0.7846
homesteadsprings,EN,37.2009,-92.9937,0.0003,0.0059,2,2,0,"2024:{} 2023:{greenup(gcc=0.30,ndvi=1.62,d=-1.32), senescence(gcc=9.15,ndvi=1.28,d=+7.87)}",0.2957,1.617,-1.3213,9.1538,1.2796,7.8742,,,,,,
ABBY,EN,45.76243,-122.33033,0.0,0.0006,1,1,0,"2024:{} 2023:{senescence(gcc=0.70,ndvi=2.06,d=-1.36)}",,,,0.6974,2.0606,-1.3632,,,,,,
harvardbarn,EN,42.53532,-72.1899,0.0011,0.0037,1,0,1,"2024:{senescence(gcc=0.82,ndvi=2.38,d=-1.56)} 2023:{}",,,,,,,,,,0.8235,2.383,-1.5594999999999999
rosalia,EN,47.7027,16.3015,0.0,0.0075,1,1,0,"2024:{} 2023:{senescence(gcc=0.74,ndvi=2.83,d=-2.10)}",,,,0.7351,2.8333,-2.0982,,,,,,
sevmveblack14redinc,GR,34.3356,-106.7275,0.0,0.0,2,1,1,"2024:{greenup(gcc=5.43,ndvi=0.45,d=+4.98)} 2023:{greenup(gcc=1.23,ndvi=9.36,d=-8.14)}",1.2262,9.3636,-8.1374,,,,5.4348,0.4545,4.9803,,,
sevmveblack15redamb,GR,34.3356,-106.7274,0.0,0.0,2,1,1,"2024:{greenup(gcc=4.81,ndvi=1.19,d=+3.62)} 2023:{senescence(gcc=1.06,ndvi=2.04,d=-0.98)}",,,,1.06,2.0385,-0.9784999999999999,4.8077,1.1905,3.6171999999999995,,,
CPER,GR,40.81553,-104.7456,0.0008,0.0001,1,0,1,"2024:{senescence(gcc=7.54,ndvi=0.61,d=+6.93)} 2023:{}",,,,,,,,,,7.5357,0.6063,6.9294
blueoakheadquarters,GR,37.3827,-121.7393,0.0034,0.0004,1,0,1,"2024:{senescence(gcc=10.48,ndvi=6.34,d=+4.14)} 2023:{}",,,,,,,,,,10.4783,6.3421,4.1362000000000005
cperuvb,GR,40.8055764,-104.7558542,0.0008,0.0003,1,0,1,"2024:{senescence(gcc=6.36,ndvi=0.91,d=+5.45)} 2023:{}",,,,,,,,,,6.3636,0.9091,5.4544999999999995
montebondonegrass,GR,46.0147,11.0458,0.0,0.0027,1,0,1,"2024:{greenup(gcc=3.78,ndvi=1.32,d=+2.46)} 2023:{}",,,,,,,3.7826,1.3182,2.4644,,,
segabluechute6,GR,35.58759,-111.97115,0.0002,0.0034,1,0,1,"2024:{senescence(gcc=19.17,ndvi=15.33,d=+3.83)} 2023:{}",,,,,,,,,,19.1667,15.3333,3.8333999999999993
sevilletagrass,GR,34.360444,-106.700186,0.0,0.0,1,1,0,"2024:{} 2023:{senescence(gcc=4.91,ndvi=0.55,d=+4.36)}",,,,4.9091,0.5455,4.3636,,,,,,
sevilletanewgrass,GR,34.358,-106.6799,0.0,0.0,1,0,1,"2024:{greenup(gcc=5.41,ndvi=1.48,d=+3.93)} 2023:{}",,,,,,,5.4062,1.4786,3.9276,,,
sevilletashrub,GR,34.334956,-106.744469,0.0,0.0,1,1,0,"2024:{} 2023:{senescence(gcc=1.95,ndvi=0.53,d=+1.42)}",,,,1.95,0.527,1.423,,,,,,
sevmveblack13redinc,GR,34.3357,-106.7275,0.0,0.0,1,0,1,"2024:{greenup(gcc=0.51,ndvi=3.79,d=-3.28)} 2023:{}",,,,,,,0.5081,3.7879,-3.2798,,,
sevmveblack22redamb,GR,34.3355,-106.7272,0.0,0.0,1,0,1,"2024:{greenup(gcc=0.59,ndvi=2.31,d=-1.73)} 2023:{}",,,,,,,0.5869,2.3148,-1.7279,,,
sevmveblack27redinc,GR,34.3353,-106.7272,0.0,0.0,1,0,1,"2024:{greenup(gcc=0.95,ndvi=3.21,d=-2.26)} 2023:{}",,,,,,,0.947,3.2051,-2.2580999999999998,,,
sevmveblack28ambinc,GR,34.3353,-106.7275,0.0,0.0,1,1,0,"2024:{} 2023:{senescence(gcc=3.79,ndvi=0.30,d=+3.49)}",,,,3.7857,0.2994,3.4863,,,,,,
sevmveblack30ambamb,GR,34.3352,-106.7272,0.0,0.0,1,1,0,"2024:{} 2023:{greenup(gcc=9.81,ndvi=2.75,d=+7.06)}",9.8095,2.7467,7.062799999999999,,,,,,,,,
ibp,SH,32.589,-106.847,0.0,0.0,3,2,1,"2024:{senescence(gcc=1.62,ndvi=5.39,d=-3.77)} 2023:{greenup(gcc=15.62,ndvi=1.71,d=+13.91), greenup(gcc=15.62,ndvi=1.80,d=+13.82)}",15.6154,1.7965,13.8189,,,,,,,1.6167,5.3889,-3.7721999999999998
ONAQ,SH,40.177599,-112.452452,0.0,0.0009,2,1,1,"2024:{senescence(gcc=3.12,ndvi=1.47,d=+1.65)} 2023:{senescence(gcc=3.27,ndvi=0.47,d=+2.80)}",,,,3.2708,0.4715,2.7993,,,,3.122,1.4713,1.6506999999999998
jergrassland2,SH,32.5849,-106.8261,0.0,0.0,2,1,1,"2024:{greenup(gcc=17.33,ndvi=0.69,d=+16.64)} 2023:{greenup(gcc=7.00,ndvi=1.84,d=+5.16)}",7.0,1.8421,5.1579,,,,17.3333,0.6933,16.64,,,
jernovel,SH,32.6335,-106.8334,0.0,0.0,2,1,1,"2024:{greenup(gcc=9.29,ndvi=0.98,d=+8.30)} 2023:{greenup(gcc=7.62,ndvi=0.92,d=+6.70)}",7.6154,0.9167,6.6987000000000005,,,,9.2857,0.9848,8.3009,,,
jershrubland2,SH,32.6638,-106.831,0.0,0.0,2,1,1,"2024:{senescence(gcc=4.54,ndvi=7.52,d=-2.98)} 2023:{senescence(gcc=3.09,ndvi=4.47,d=-1.38)}",,,,3.0882,4.4681,-1.3798999999999997,,,,4.5417,7.5172,-2.9755000000000003
sevmettswl,SH,34.3104,-106.6844,0.0,0.0,2,0,2,"2024:{greenup(gcc=2.27,ndvi=9.10,d=-6.82), senescence(gcc=1.58,ndvi=0.29,d=+1.29)} 2023:{}",,,,,,,2.275,9.1,-6.824999999999999,1.5806,0.2917,1.2889
sevmvecreo4ambinc,SH,34.3384,-106.7392,0.0,0.0,2,1,1,"2024:{greenup(gcc=5.67,ndvi=0.64,d=+5.03)} 2023:{greenup(gcc=28.12,ndvi=2.88,d=+25.24)}",28.125,2.8846,25.2404,,,,5.6667,0.6385,5.0282,,,
SRER,SH,31.91068,-110.83549,0.0,0.0031,1,0,1,"2024:{senescence(gcc=4.86,ndvi=1.04,d=+3.82)} 2023:{}",,,,,,,,,,4.8644,1.0399,3.8244999999999996
amtsvenn,SH,52.176,6.955,0.0055,0.0098,1,1,0,"2024:{} 2023:{senescence(gcc=2.66,ndvi=0.99,d=+1.67)}",,,,2.6596,0.9921,1.6675000000000002,,,,,,
jershrubland,SH,32.6502,-106.8334,0.0,0.0,1,1,0,"2024:{} 2023:{greenup(gcc=6.24,ndvi=0.95,d=+5.29)}",6.2353,0.9464,5.2889,,,,,,,,,
portal,SH,31.9385,-109.0823,0.0,0.0002,1,0,1,"2024:{senescence(gcc=3.18,ndvi=1.57,d=+1.61)} 2023:{}",,,,,,,,,,3.1807,1.5714,1.6093
sevmvecreo19redamb,SH,34.3386,-106.739,0.0,0.0,1,1,0,"2024:{} 2023:{greenup(gcc=14.06,ndvi=4.17,d=+9.90)}",14.0625,4.1667,9.895800000000001,,,,,,,,,
sevmvecreo1redinc,SH,34.3382,-106.7392,0.0,0.0,1,1,0,"2024:{} 2023:{greenup(gcc=25.00,ndvi=2.06,d=+22.94)}",25.0,2.0642,22.9358,,,,,,,,,
sevmvecreo20redinc,SH,34.3386,-106.739,0.0,0.0,1,1,0,"2024:{} 2023:{greenup(gcc=10.23,ndvi=3.21,d=+7.01)}",10.2273,3.2143,7.013,,,,,,,,,
sevmvecreo21redinc,SH,34.3386,-106.739,0.0,0.0,1,1,0,"2024:{} 2023:{greenup(gcc=20.45,ndvi=4.17,d=+16.29)}",20.4545,4.1667,16.2878,,,,,,,,,
sevmvecreo22ambinc,SH,34.3386,-106.739,0.0,0.0,1,1,0,"2024:{} 2023:{greenup(gcc=32.14,ndvi=17.31,d=+14.84)}",32.1429,17.3077,14.835199999999997,,,,,,,,,
sevmvecreo23ambinc,SH,34.3386,-106.739,0.0,0.0,1,1,0,"2024:{} 2023:{greenup(gcc=18.75,ndvi=2.59,d=+16.16)}",18.75,2.5862,16.163800000000002,,,,,,,,,
sevmvecreo24ambamb,SH,34.3386,-106.739,0.0,0.0,1,1,0,"2024:{} 2023:{greenup(gcc=13.24,ndvi=2.78,d=+10.46)}",13.2353,2.7778,10.4575,,,,,,,,,
sevmvecreo3redamb,SH,34.3382,-106.7389,0.0,0.0,1,1,0,"2024:{} 2023:{greenup(gcc=20.45,ndvi=2.25,d=+18.20)}",20.4545,2.25,18.2045,,,,,,,,,
sevmvecreo6ambamb,SH,34.3383,-106.7389,0.0,0.0,1,1,0,"2024:{} 2023:{greenup(gcc=25.00,ndvi=2.88,d=+22.12)}",25.0,2.8846,22.1154,,,,,,,,,
sevmvecreo8ambinc,SH,34.3381,-106.7387,0.0,0.0,1,1,0,"2024:{} 2023:{greenup(gcc=37.50,ndvi=2.14,d=+35.36)}",37.5,2.1429,35.3571,,,,,,,,,
sevmvecreo9ambamb,SH,34.3381,-106.7385,0.0,0.0,1,1,0,"2024:{} 2023:{greenup(gcc=22.50,ndvi=6.25,d=+16.25)}",22.5,6.25,16.25,,,,,,,,,
srm,SH,31.8214,-110.8661,0.0,0.0,1,0,1,"2024:{greenup(gcc=18.73,ndvi=2.51,d=+16.22)} 2023:{}",,,,,,,18.7273,2.5122,16.2151,,,
BONA,UN,65.15401,-147.50258,0.0002,0.0,1,1,0,"2024:{} 2023:{senescence(gcc=2.19,ndvi=1.23,d=+0.96)}",,,,2.1852,1.2292,0.956,,,,,,
montebondonepeat,WL,46.0177,11.0409,0.0,0.0036,2,1,1,"2024:{senescence(gcc=3.19,ndvi=1.91,d=+1.27)} 2023:{greenup(gcc=3.74,ndvi=1.73,d=+2.01)}",3.7419,1.7313,2.0105999999999997,,,,,,,3.1852,1.9111,1.2741
KING,WL,39.10506,-96.60336,0.0003,0.0089,1,1,0,"2024:{} 2023:{senescence(gcc=0.82,ndvi=1.21,d=-0.39)}",,,,0.8153,1.2075,-0.3922,,,,,,
